Last Name,First Name,Position,Team,GP,TOI
Rattie,Ty,F,CAR,5,4035
Ryan,Derek,F,CAR,67,49562
Skinner,Jeff,F,CAR,79,73268
Slavin,Jaccob,D,CAR,82,95410
Staal,Jordan,F,CAR,75,66773
Stalberg,Viktor,F,CAR,57,34635
Stempniak,Lee,F,CAR,82,68301
Tennyson,Matt,D,CAR,45,34924
Teravainen,Teuvo,F,CAR,81,67984
Tolchinsky,Sergey,F,CAR,2,1370
Wallmark,Lucas,F,CAR,8,5148
Zykov,Valentin,F,CAR,2,618
Anderson,Josh,F,CBJ,78,55004
Atkinson,Cam,F,CBJ,82,68836
Bjorkstrand,Oliver,F,CBJ,26,19330
Calvert,Matt,F,CBJ,65,44903
Carlsson,Gabriel,D,CBJ,2,2011
Dubinsky,Brandon,F,CBJ,80,70802
Foligno,Nick,F,CBJ,79,71806
Gagner,Sam,F,CBJ,81,54809
Hannikainen,Markus,F,CBJ,10,5055
Harrington,Scott,D,CBJ,22,16766
Hartnell,Scott,F,CBJ,78,49835
Jenner,Boone,F,CBJ,82,69247
Johnson,Jack,D,CBJ,82,94259
Jones,Seth,D,CBJ,75,88280
Karlsson,William,F,CBJ,81,56158
Korpikoski,Lauri,F,CBJ,9,4403
Milano,Sonny,F,CBJ,4,2418
Murray,Ryan,D,CBJ,60,57650
Nutivaara,Markus,D,CBJ,66,51542
Prout,Dalton,D,CBJ,15,10425
Quincey,Kyle,D,CBJ,20,17004
Saad,Brandon,F,CBJ,82,73601
Savard,David,D,CBJ,74,85114
Sedlak,Lukas,F,CBJ,62,33901
Tynan,T.J.,F,CBJ,3,1347
Wennberg,Alex,F,CBJ,80,72488
Werenski,Zach,D,CBJ,78,81268
Andersson,Rasmus,D,CGY,1,1000
Backlund,Mikael,F,CGY,81,64700
Bartkowski,Matt,D,CGY,24,21475
Bennett,Sam,F,CGY,81,61366
Bouma,Lance,F,CGY,61,35516
Brodie,T.J.,D,CGY,82,90915
Brouwer,Troy,F,CGY,74,54410
Chiasson,Alex,F,CGY,81,57433
Engelland,Deryk,D,CGY,81,73284
Ferland,Micheal,F,CGY,76,50447
Frolik,Michael,F,CGY,82,68177
Gaudreau,Johnny,F,CGY,72,65932
Giordano,Mark,D,CGY,81,86285
Grossmann,Nicklas,D,CGY,3,2147
Hamilton,Freddie,F,CGY,26,14719
Hamilton,Dougie,D,CGY,81,80356
Hathaway,Garnet,F,CGY,26,14065
Jankowski,Mark,F,CGY,1,618
Jokipakka,Jyrki,D,CGY,38,32250
Kulak,Brett,D,CGY,21,17450
Lazar,Curtis,F,CGY,4,2697
Monahan,Sean,F,CGY,82,69152
Shinkaruk,Hunter,F,CGY,7,4422
Stajan,Matt,F,CGY,81,52527
Stone,Michael,D,CGY,19,19704
Tkachuk,Matthew,F,CGY,76,57537
Versteeg,Kris,F,CGY,69,50337
Vey,Linden,F,CGY,4,2197
Wideman,Dennis,D,CGY,57,58201
Wotherspoon,Tyler,D,CGY,4,2616
Abbott,Spencer,F,CHI,1,514
Anisimov,Artem,F,CHI,64,56244
Campbell,Brian,D,CHI,80,80176
Desjardins,Andrew,F,CHI,46,24138
Forsling,Gustav,D,CHI,38,31466
Hartman,Ryan,F,CHI,76,55433
Hayden,John,F,CHI,12,8225
Hinostroza,Vinnie,F,CHI,49,34277
Hjalmarsson,Niklas,D,CHI,73,81448
Hossa,Marian,F,CHI,73,59512
Jurco,Tomas,F,CHI,13,8678
Kane,Patrick,F,CHI,82,88147
Keith,Duncan,D,CHI,80,96053
Kempny,Michal,D,CHI,50,42529
Kero,Tanner,F,CHI,47,33710
Kruger,Marcus,F,CHI,70,49185
Motte,Tyler,F,CHI,33,20161
Oduya,Johnny,D,CHI,15,14916
Panarin,Artemi,F,CHI,82,80184
Panik,Richard,F,CHI,82,64352
Rasmussen,Dennis,F,CHI,68,40892
Rozsival,Michal,D,CHI,22,18775
Schmaltz,Nick,F,CHI,61,44650
Seabrook,Brent,D,CHI,79,82051
Toews,Jonathan,F,CHI,72,69840
Tootoo,Jordin,F,CHI,50,20177
van Riemsdyk,Trevor,D,CHI,58,59163
Andrighetto,Sven,F,COL,19,17247
Barberio,Mark,D,COL,34,36904
Barrie,Tyson,D,COL,74,87440
Beauchemin,Francois,D,COL,81,84618
Bourque,Gabriel,F,COL,6,3238
Bourque,Rene,F,COL,65,47789
Colborne,Joe,F,COL,62,35077
Comeau,Blake,F,COL,77,57540
Compher,J.T.,F,COL,21,15409
Duchene,Matt,F,COL,77,68540
Gelinas,Eric,D,COL,27,18415
Goloubef,Cody,D,COL,33,30100
Greer,A.J.,F,COL,5,3807
Grigorenko,Mikhail,F,COL,75,50486
Grimaldi,Rocco,F,COL,4,2640
Henley,Samuel,F,COL,1,306
Iginla,Jarome,F,COL,61,45613
Johnson,Erik,D,COL,46,47335
Jost,Tyson,F,COL,6,4669
Landeskog,Gabriel,F,COL,72,63220
Lindholm,Anton,D,COL,12,9775
MacKinnon,Nathan,F,COL,82,75863
Martinsen,Andreas,F,COL,55,28042
McLeod,Cody,F,COL,28,9847
Mitchell,John,F,COL,65,45693
Nieto,Matt,F,COL,43,34729
Rantanen,Mikko,F,COL,75,68656
Siemens,Duncan,D,COL,3,2023
Smith,Ben,F,COL,4,2131
Soderberg,Carl,F,COL,80,56485
Tyutin,Fedor,D,COL,69,67904
Wiercioch,Patrick,D,COL,57,48995
Zadorov,Nikita,D,COL,56,54634
Benn,Jordie,D,DAL,58,51865
Benn,Jamie,F,DAL,77,68415
Cracknell,Adam,F,DAL,69,40740
Dickinson,Jason,F,DAL,10,7025
Dowling,Justin,F,DAL,9,5540
Eakin,Cody,F,DAL,60,50215
Eaves,Patrick,F,DAL,59,46901
Elie,Remi,F,DAL,18,15684
Faksa,Radek,F,DAL,80,65622
Gurianov,Denis,F,DAL,1,786
Hamhuis,Dan,D,DAL,79,74766
Hemsky,Ales,F,DAL,15,11510
Honka,Julius,D,DAL,16,14855
Hudler,Jiri,F,DAL,32,18800
Johns,Stephen,D,DAL,61,58365
Klingberg,John,D,DAL,80,95789
Korpikoski,Lauri,F,DAL,60,40289
Lindell,Esa,D,DAL,73,82353
McKenzie,Curtis,F,DAL,53,31167
McNeill,Mark,F,DAL,1,829
Nemeth,Patrik,D,DAL,40,35321
Oduya,Johnny,D,DAL,37,34428
Oleksiak,Jamie,D,DAL,41,36554
Pateryn,Greg,D,DAL,12,12041
Ritchie,Brett,F,DAL,78,52939
Roussel,Antoine,F,DAL,60,44580
Seguin,Tyler,F,DAL,82,75105
Sharp,Patrick,F,DAL,48,39092
Shore,Devin,F,DAL,82,59745
Smith,Gemel,F,DAL,17,12483
Spezza,Jason,F,DAL,68,53955
Abdelkader,Justin,F,DET,64,50402
Athanasiou,Andreas,F,DET,64,45060
Bertuzzi,Tyler,F,DET,7,3803
Callahan,Mitch,F,DET,4,1635
DeKeyser,Danny,D,DET,82,92084
Ericsson,Jonathan,D,DET,51,52123
Glendening,Luke,F,DET,74,46875
Green,Mike,D,DET,72,87351
Helm,Darren,F,DET,50,38658
Jensen,Nick,D,DET,49,47506
Jurco,Tomas,F,DET,16,9171
Kronwall,Niklas,D,DET,57,54597
Larkin,Dylan,F,DET,80,66908
Lashoff,Brian,D,DET,5,3534
Lorito,Matt,F,DET,2,1623
Mantha,Anthony,F,DET,60,50277
Marchenko,Alexey,D,DET,30,28071
Miller,Drew,F,DET,55,29226
Nielsen,Frans,F,DET,79,60808
Nosek,Tomas,F,DET,11,6513
Nyquist,Gustav,F,DET,76,66521
Ott,Steve,F,DET,42,21195
Ouellet,Xavier,D,DET,66,63209
Renouf,Dan,D,DET,1,815
Russo,Robbie,D,DET,19,16878
Sheahan,Riley,F,DET,80,57497
Smith,Brendan,D,DET,33,30619
Sproul,Ryan,D,DET,27,20989
Street,Ben,F,DET,6,2970
Svechnikov,Evgeny,F,DET,2,1577
Tatar,Tomas,F,DET,82,73103
Vanek,Thomas,F,DET,48,33875
Zetterberg,Henrik,F,DET,82,82131
Beck,Taylor,F,EDM,3,1059
Benning,Matthew,D,EDM,62,57649
Caggiula,Drake,F,EDM,60,39241
Davidson,Brandon,D,EDM,28,23985
Desharnais,David,F,EDM,18,11898
Draisaitl,Leon,F,EDM,82,76524
Eberle,Jordan,F,EDM,82,71401
Fayne,Mark,D,EDM,4,1900
Gryba,Eric,D,EDM,40,35541
Hendricks,Matt,F,EDM,42,23089
Kassian,Zack,F,EDM,79,52652
Khaira,Jujhar,F,EDM,10,5481
Klefbom,Oscar,D,EDM,82,89389
Lander,Anton,F,EDM,22,10293
Larsson,Adam,D,EDM,79,87067
Letestu,Mark,F,EDM,78,46013
Lucic,Milan,F,EDM,82,70958
Maroon,Patrick,F,EDM,81,71922
McDavid,Connor,F,EDM,82,85085
Nugent-Hopkins,Ryan,F,EDM,82,69237
Nurse,Darnell,D,EDM,44,41494
Oesterle,Jordan,D,EDM,2,2038
Pakarinen,Iiro,F,EDM,14,7159
Pitlick,Tyler,F,EDM,31,18037
Pouliot,Benoit,F,EDM,67,47598
Puljujarvi,Jesse,F,EDM,28,17518
Russell,Kris,D,EDM,68,75938
Sekera,Andrej,D,EDM,80,82883
Simpson,Dillon,D,EDM,3,1959
Slepyshev,Anton,F,EDM,41,27051
Barkov,Aleksander,F,FLA,61,55677
Bjugstad,Nick,F,FLA,54,37911
Demers,Jason,D,FLA,81,78905
Ekblad,Aaron,D,FLA,68,72878
Griffith,Seth,F,FLA,21,14851
Harper,Shane,F,FLA,14,8623
Huberdeau,Jonathan,F,FLA,31,28432
Jagr,Jaromir,F,FLA,82,69954
Jokinen,Jussi,F,FLA,69,56246
Kampfer,Steven,D,FLA,1,976
Kindl,Jakub,D,FLA,39,33294
MacKenzie,Derek,F,FLA,82,49993
Malgin,Denis,F,FLA,47,28537
Marchessault,Jonathan,F,FLA,75,63743
Matheson,Michael,D,FLA,81,87231
McCann,Jared,F,FLA,29,18493
McCoshen,Ian,D,FLA,3,2386
McIlrath,Dylan,D,FLA,5,2806
McKegg,Greg,F,FLA,31,17517
Petrovic,Alex,D,FLA,49,49170
Pysyk,Mark,D,FLA,82,76942
Rau,Kyle,F,FLA,24,13519
Sceviour,Colton,F,FLA,80,56589
Sgarbossa,Michael,F,FLA,29,18791
Smith,Reilly,F,FLA,80,68266
Thompson,Paul,F,FLA,21,9933
Thornton,Shawn,F,FLA,50,22600
Trocheck,Vincent,F,FLA,82,79586
Vanek,Thomas,F,FLA,20,13920
Weegar,Mackenzie,D,FLA,3,2795
Yandle,Keith,D,FLA,82,84904
Andreoff,Andy,F,L.A,36,22358
Brodzinski,Jonny,F,L.A,6,4308
Brown,Dustin,F,L.A,80,63350
Carter,Jeff,F,L.A,82,67001
Clifford,Kyle,F,L.A,73,46406
Doughty,Drew,D,L.A,82,104728
Dowd,Nic,F,L.A,70,45493
Forbort,Derek,D,L.A,82,87474
Gaborik,Marian,F,L.A,56,44500
Gilbert,Tom,D,L.A,18,13785
Gravel,Kevin,D,L.A,49,37258
Greene,Matt,D,L.A,26,18664
