Last Name,First Name,Position,Team,GP,TOI
Del Zotto,Michael,D,PHI,51,52840
Filppula,Valtteri,F,PHI,20,17235
Giroux,Claude,F,PHI,82,74404
Gordon,Boyd,F,PHI,13,5187
Gostisbehere,Shayne,D,PHI,76,71564
Gudas,Radko,D,PHI,67,69615
Hagg,Robert,D,PHI,1,1185
Konecny,Travis,F,PHI,70,52019
Laughton,Scott,F,PHI,2,1229
Leier,Taylor,F,PHI,10,5232
Lyubimov,Roman,F,PHI,47,25458
MacDonald,Andrew,D,PHI,73,75108
Manning,Brandon,D,PHI,65,63420
McDonald,Colin,F,PHI,3,1608
Morin,Samuel,D,PHI,1,878
Provorov,Ivan,D,PHI,82,85849
Raffl,Michael,F,PHI,52,40963
Read,Matt,F,PHI,63,46295
Schenn,Brayden,F,PHI,79,66576
Schultz,Nick,D,PHI,28,22483
Simmonds,Wayne,F,PHI,82,67624
Streit,Mark,D,PHI,49,47757
VandeVelde,Chris,F,PHI,81,43757
Vecchione,Mike,F,PHI,2,1004
Voracek,Jakub,F,PHI,82,76118
Weal,Jordan,F,PHI,23,17563
Weise,Dale,F,PHI,64,45701
Archibald,Josh,F,PIT,10,6203
Bonino,Nick,F,PIT,80,60622
Cole,Ian,D,PIT,81,84143
Corrado,Frank,D,PIT,2,807
Crosby,Sidney,F,PIT,75,72734
Cullen,Matt,F,PIT,72,48443
Daley,Trevor,D,PIT,56,54986
Dea,Jean-Sebastien,F,PIT,1,678
Dumoulin,Brian,D,PIT,70,76432
Fehr,Eric,F,PIT,52,27694
Gaunce,Cameron,D,PIT,12,8270
Guentzel,Jake,F,PIT,40,34818
Hagelin,Carl,F,PIT,61,48049
Hainsey,Ron,D,PIT,16,17286
Hornqvist,Patric,F,PIT,70,54287
Kessel,Phil,F,PIT,82,70731
Kuhnhackl,Tom,F,PIT,57,30200
Kunitz,Chris,F,PIT,71,56267
Letang,Kris,D,PIT,41,48463
Maatta,Olli,D,PIT,55,51556
Malkin,Evgeni,F,PIT,62,55461
Oleksy,Steve,D,PIT,11,8281
Porter,Kevin,F,PIT,2,1179
Pouliot,Derrick,D,PIT,11,8446
Rowney,Carter,F,PIT,27,16066
Ruhwedel,Chad,D,PIT,34,31131
Rust,Bryan,F,PIT,57,43428
Schultz,Justin,D,PIT,78,82431
Sestito,Tom,F,PIT,13,4290
Sheary,Conor,F,PIT,61,51758
Simon,Dominik,F,PIT,2,1508
Streit,Mark,D,PIT,19,17124
Sundqvist,Oskar,F,PIT,10,5202
Warsofsky,David,D,PIT,7,5881
Wilson,Scott,F,PIT,78,49389
Boedker,Mikkel,F,S.J,81,58174
Braun,Justin,D,S.J,81,86594
Burns,Brent,D,S.J,82,96119
Carpenter,Ryan,F,S.J,11,6278
Couture,Logan,F,S.J,73,59087
Demelo,Dylan,D,S.J,25,21349
Dillon,Brenden,D,S.J,81,75660
Donskoi,Joonas,F,S.J,61,45357
Goldobin,Nikolay,F,S.J,2,1179
Goodrow,Barclay,F,S.J,3,1957
Haley,Micheal,F,S.J,58,31770
Hansen,Jannik,F,S.J,15,12007
Heed,Tim,D,S.J,1,938
Hertl,Tomas,F,S.J,49,41589
Karlsson,Melker,F,S.J,67,44664
Labanc,Kevin,F,S.J,55,40749
Marleau,Patrick,F,S.J,82,69066
Martin,Paul,D,S.J,81,83518
Meier,Timo,F,S.J,34,24240
Mueller,Mirco,D,S.J,4,2246
Nieto,Matt,F,S.J,16,10226
O'Regan,Daniel,F,S.J,3,1973
Pavelski,Joe,F,S.J,81,75220
Schlemko,David,D,S.J,62,54983
Sorensen,Marcus,F,S.J,19,11481
Thornton,Joe,F,S.J,79,69643
Tierney,Chris,F,S.J,80,60193
Vlasic,Marc-Edouard,D,S.J,75,77541
Ward,Joel,F,S.J,78,62416
Wingels,Tommy,F,S.J,37,20662
Agostino,Kenny,F,STL,7,4830
Barbashev,Ivan,F,STL,30,19572
Berglund,Patrik,F,STL,82,65540
Bortuzzo,Robert,D,STL,38,30040
Bouwmeester,Jay,D,STL,81,93671
Brodziak,Kyle,F,STL,69,37909
Butler,Chris,D,STL,1,1176
Edmundson,Joel,D,STL,69,65608
Fabbri,Robby,F,STL,51,40691
Gunnarsson,Carl,D,STL,56,42938
Hunt,Brad,D,STL,9,6914
Jaskin,Dmitrij,F,STL,51,34148
Lehtera,Jori,F,STL,64,51377
Lindbohm,Petteri,D,STL,7,5378
Megan,Wade,F,STL,3,1497
Paajarvi,Magnus,F,STL,32,21537
Parayko,Colton,D,STL,81,84248
Perron,David,F,STL,82,69063
Pietrangelo,Alex,D,STL,80,95065
Rattie,Ty,F,STL,4,1705
Reaves,Ryan,F,STL,80,42531
Sanford,Zach,F,STL,13,8320
Schmaltz,Jordan,D,STL,9,7036
Schwartz,Jaden,F,STL,78,71050
Shattenkirk,Kevin,D,STL,61,59910
Sobotka,Vladimir,F,STL,1,631
Stastny,Paul,F,STL,66,59116
Steen,Alex,F,STL,76,66260
Tarasenko,Vladimir,F,STL,82,75289
Upshall,Scottie,F,STL,73,40099
Yakupov,Nail,F,STL,40,24868
Bournival,Michael,F,T.B,19,11432
Boyle,Brian,F,T.B,54,35692
Brown,J.T.,F,T.B,64,35436
Callahan,Ryan,F,T.B,18,12881
Coburn,Braydon,D,T.B,80,70184
Conacher,Cory,F,T.B,11,6412
Condra,Erik,F,T.B,13,7319
Dotchin,Jake,D,T.B,35,36445
Drouin,Jonathan,F,T.B,73,64023
Dumont,Gabriel,F,T.B,39,21697
Erne,Adam,F,T.B,26,16821
Filppula,Valtteri,F,T.B,59,48036
Froese,Byron,F,T.B,4,2635
Garrison,Jason,D,T.B,70,68111
Gourde,Yanni,F,T.B,20,15765
Hedman,Victor,D,T.B,79,92150
Johnson,Tyler,F,T.B,66,55074
Killorn,Alex,F,T.B,81,68704
Koekkoek,Slater,D,T.B,29,21754
Kucherov,Nikita,F,T.B,74,71299
McKegg,Greg,F,T.B,15,8092
Namestnikov,Vladislav,F,T.B,74,55039
Nesterov,Nikita,D,T.B,35,31891
Palat,Ondrej,F,T.B,75,65852
Paquette,Cedric,F,T.B,58,34752
Peca,Matthew,F,T.B,10,6310
Point,Brayden,F,T.B,68,58501
Richard,Tanner,F,T.B,3,1984
Stamkos,Steven,F,T.B,17,13977
Stralman,Anton,D,T.B,73,81443
Sustr,Andrej,D,T.B,80,73984
Vermin,Joel,F,T.B,18,10782
Witkowski,Luke,D,T.B,34,19882
Boyle,Brian,F,TOR,21,12823
Bozak,Tyler,F,TOR,78,65407
Brown,Connor,F,TOR,82,63854
Carrick,Connor,D,TOR,67,62311
Corrado,Frank,D,TOR,2,1633
Fehr,Eric,F,TOR,1,551
Froese,Byron,F,TOR,2,872
Gardiner,Jake,D,TOR,82,91891
Gauthier,Frederik,F,TOR,21,10783
Griffith,Seth,F,TOR,3,1558
Holland,Peter,F,TOR,8,4429
Hunwick,Matt,D,TOR,72,65926
Hyman,Zach,F,TOR,82,67597
Kadri,Nazem,F,TOR,82,70650
Kapanen,Kasperi,F,TOR,8,4437
Komarov,Leo,F,TOR,82,63301
Leivo,Josh,F,TOR,13,8312
Marchenko,Alexey,D,TOR,11,9106
Marincin,Martin,D,TOR,25,22757
Marner,Mitchell,F,TOR,77,66055
Martin,Matt,F,TOR,82,42059
Matthews,Auston,F,TOR,82,74569
Michalek,Milan,F,TOR,5,3557
Nylander,William,F,TOR,81,66337
Polak,Roman,D,TOR,75,67528
Rielly,Morgan,D,TOR,76,85860
Smith,Ben,F,TOR,36,20123
Soshnikov,Nikita,F,TOR,56,30556
van Riemsdyk,James,F,TOR,82,66110
Zaitsev,Nikita,D,TOR,82,90018
Baertschi,Sven,F,VAN,68,55908
Biega,Alex,D,VAN,36,26580
Boeser,Brock,F,VAN,9,7801
Boucher,Reid,F,VAN,27,17010
Burrows,Alex,F,VAN,55,43078
Chaput,Michael,F,VAN,68,42645
Cramarossa,Joseph,F,VAN,10,6176
Dorsett,Derek,F,VAN,14,8030
Edler,Alex,D,VAN,68,80296
Eriksson,Loui,F,VAN,65,57643
Gaunce,Brendan,F,VAN,57,30592
Goldobin,Nikolay,F,VAN,12,7938
Granlund,Markus,F,VAN,69,58621
Grenier,Alex,F,VAN,3,1167
Gudbranson,Erik,D,VAN,30,31427
Hansen,Jannik,F,VAN,28,25061
Horvat,Bo,F,VAN,81,69353
Hutton,Ben,D,VAN,71,76254
Labate,Joseph,F,VAN,13,5264
Larsen,Philip,D,VAN,26,22109
McEneny,Evan,D,VAN,1,908
Megna,Jayson,F,VAN,58,39895
Molino,Griffen,F,VAN,5,3176
Rendulic,Borna,F,VAN,1,291
Rodin,Anton,F,VAN,3,1516
Sbisa,Luca,D,VAN,82,82236
Sedin,Daniel,F,VAN,82,75539
Sedin,Henrik,F,VAN,82,78219
Shore,Drew,F,VAN,14,9301
Skille,Jack,F,VAN,55,28817
Stecher,Troy,D,VAN,71,73282
Sutter,Brandon,F,VAN,81,69651
Tanev,Chris,D,VAN,53,54065
Tryamkin,Nikita,D,VAN,66,60376
Virtanen,Jake,F,VAN,10,5994
Zalewski,Michael,F,VAN,1,483
Armia,Joel,F,WPG,57,42466
Burmistrov,Alex,F,WPG,23,13136
Byfuglien,Dustin,D,WPG,80,104625
Chiarot,Ben,D,WPG,59,47151
Connor,Kyle,F,WPG,20,12986
Copp,Andrew,F,WPG,64,41269
Dano,Marko,F,WPG,38,21186
Ehlers,Nikolaj,F,WPG,82,73109
Enstrom,Tobias,D,WPG,60,62806
Howden,Quinton,F,WPG,5,2540
Laine,Patrik,F,WPG,73,66414
Little,Bryan,F,WPG,59,50152
Lowry,Adam,F,WPG,82,59419
Matthias,Shawn,F,WPG,45,32392
Melchiori,Julian,D,WPG,18,18958
Morrissey,Josh,D,WPG,82,88549
Myers,Tyler,D,WPG,11,11591
Nogier,Nelson,D,WPG,10,7016
Perreault,Mathieu,F,WPG,65,53116
Petan,Nic,F,WPG,54,28184
Postma,Paul,D,WPG,65,42086
Roslovic,Jack,F,WPG,1,504
Scheifele,Mark,F,WPG,79,79438
Stafford,Drew,F,WPG,40,27859
Strait,Brian,D,WPG,5,4630
Stuart,Mark,D,WPG,42,25657
Tanev,Brandon,F,WPG,51,27515
Thorburn,Chris,F,WPG,64,24286
Trouba,Jacob,D,WPG,60,73060
Wheeler,Blake,F,WPG,82,77739
Alzner,Karl,D,WSH,82,82113
Backstrom,Nicklas,F,WSH,82,71362
Barber,Riley,F,WSH,3,1544
Beagle,Jay,F,WSH,81,52372
Burakovsky,Andre,F,WSH,64,45315
Carey,Paul,F,WSH,6,3567
Carlson,John,D,WSH,72,73818
Chorney,Taylor,D,WSH,18,14635
Connolly,Brett,F,WSH,66,40487
Eller,Lars,F,WSH,81,56154
Johansson,Marcus,F,WSH,82,69571
Kuznetsov,Evgeny,F,WSH,82,73427
Mitchell,Garrett,F,WSH,1,528
Ness,Aaron,D,WSH,2,1540
Niskanen,Matt,D,WSH,78,83270
O'Brien,Liam,F,WSH,1,368
Orlov,Dmitry,D,WSH,82,89314
Orpik,Brooks,D,WSH,79,72849
Oshie,T.J.,F,WSH,68,56971
Ovechkin,Alex,F,WSH,82,71906
Sanford,Zach,F,WSH,26,15237
Schmidt,Nate,D,WSH,60,52590
Shattenkirk,Kevin,D,WSH,19,18946
Stephenson,Chandler,F,WSH,4,2068
Vrana,Jakub,F,WSH,21,11721
Williams,Justin,F,WSH,80,62501
Wilson,Tom,F,WSH,82,53189
Winnik,Daniel,F,WSH,72,44683
Dell,Aaron,G,S.J,20,57079.2
Montoya,Al,G,MTL,19,55240.2
Nedeljkovic,Alex,G,CAR,1,1228.8
Stalock,Alex,G,MIN,2,6039
Nilsson,Anders,G,BUF,26,72895.2
Vasilevskiy,Andrei,G,T.B,50,135013.8
Hammond,Andrew,G,OTT,6,9009
Stolarz,Anthony,G,PHI,7,17455.2
Bibeau,Antoine,G,TOR,2,5019
Forsberg,Anton,G,CBJ,1,2868
Khudobin,Anton,G,BOS,16,41040
Niemi,Antti,G,DAL,37,82599
Raanta,Antti,G,NYR,30,77349
Bishop,Ben,G,T.B,32,85089
Bishop,Ben,G,L.A,7,19234.8
Holtby,Braden,G,WSH,63,175246.8
Elliott,Brian,G,CGY,49,133420.8
Pickard,Calvin,G,COL,50,134772
Talbot,Cam,G,EDM,73,204016.8
Ward,Cam,G,CAR,61,177064.8
Price,Carey,G,MTL,62,179467.8
Hutton,Carter,G,STL,30,68943
Johnson,Chad,G,CGY,36,94000.8
Lindgren,Charlie,G,MTL,2,6685.2
Driedger,Chris,G,OTT,1,1933.2
Hellebuyck,Connor,G,WPG,56,141841.2
Crawford,Corey,G,CHI,55,158191.2
Schneider,Cory,G,N.J,60,166870.2
Anderson,Craig,G,OTT,40,116211
Mcelhinney,Curtis,G,CBJ,7,17563.2
Mcelhinney,Curtis,G,TOR,14,37293
Kuemper,Darcy,G,MIN,18,52603.2
Rittich,David,G,CGY,1,1119
Dubnyk,Devan,G,MIN,65,183603
Lack,Eddie,G,CAR,20,53961
Comrie,Eric,G,WPG,1,3175.8
Andersen,Frederik,G,TOR,66,182758.8
Lundqvist,Henrik,G,NYR,57,155070
Campbell,Jack,G,L.A,1,960
Markstrom,Jacob,G,VAN,26,67183.8
Allen,Jake,G,STL,61,164830.2
Reimer,James,G,FLA,43,107506.2
Coreau,Jared,G,DET,14,34077
Halak,Jaroslav,G,NYI,28,75823.8
Berube,Jean-francois,G,NYI,14,26895
Zatkoff,Jeff,G,L.A,13,27607.2
Smith,Jeremy,G,COL,10,27399
Enroth,Jhonas,G,TOR,6,12967.8
Howard,Jimmy,G,DET,26,66868.2
Gibson,John,G,ANA,52,137863.8
Gillies,Jon,G,CGY,1,3034.8
Gustavsson,Jonas,G,EDM,7,16630.8
Bernier,Jonathan,G,ANA,39,93847.2
Quick,Jonathan,G,L.A,17,45274.8
Korpisalo,Joonas,G,CBJ,14,39181.8
Peters,Justin,G,ARI,3,7090.2
Saros,Juuse,G,NSH,21,57826.2
Lehtonen,Kari,G,DAL,59,156028.8
Kinkaid,Keith,G,N.J,26,69016.8
Gudlevskis,Kristers,G,T.B,1,687
Brossoit,Laurent,G,EDM,8,16020
Ullmark,Linus,G,BUF,1,3043.2
Domingue,Louis,G,ARI,31,76938
Hellberg,Magnus,G,NYR,2,4423.2
Subban,Malcolm,G,BOS,1,1591.2
Fleury,Marc-andre,G,PIT,38,99799.8
Mazanec,Marek,G,NSH,4,9247.2
Jones,Martin,G,S.J,65,180565.8
Murray,Matthew,G,PIT,49,132921
Hutchinson,Michael,G,WPG,28,65443.2
Leighton,Michael,G,CAR,4,10273.2
Neuvirth,Michal,G,PHI,28,65652
Condon,Mike,G,PIT,1,951
Condon,Mike,G,OTT,40,108081
Smith,Mike,G,ARI,55,151525.8
Pavelec,Ondrej,G,WPG,8,22204.8
Rinne,Pekka,G,NSH,61,169039.2
Budaj,Peter,G,L.A,53,145408.8
Budaj,Peter,G,T.B,7,13603.8
Mrazek,Petr,G,DET,50,137551.8
Copley,Pheonix,G,STL,1,2754
Grubauer,Philipp,G,WSH,24,59212.8
Berra,Reto,G,FLA,7,15184.2
Bachman,Richard,G,VAN,5,14964
Luongo,Roberto,G,FLA,40,108415.2
Lehner,Robin,G,BUF,59,165895.2
Miller,Ryan,G,VAN,54,160648.2
Darling,Scott,G,CHI,32,85006.8
Varlamov,Semyon,G,COL,24,63145.8
Bobrovsky,Sergei,G,CBJ,63,179956.2
Martin,Spencer,G,COL,3,5845.8
Mason,Steve,G,PHI,58,151518
Greiss,Thomas,G,NYI,51,139408.2
Jarry,Tristan,G,PIT,1,3510
Rask,Tuukka,G,BOS,65,173182.2
Mcintyre,Zane,G,BOS,8,16324.8
